pdf_path,paper_folder,note_slug,is_main_pdf,pdf_role,source_kind,parse_issue
papers/Can Large Language Models Explore In-Context/figs/table_GPT-3.5_buttons_easy.pdf,Can Large Language Models Explore In-Context,can-large-language-models-explore-in-context,0,auxiliary,pdf+source,
papers/Can Large Language Models Explore In-Context/figs/table_GPT-3.5_buttons_hard.pdf,Can Large Language Models Explore In-Context,can-large-language-models-explore-in-context,0,auxiliary,pdf+source,
papers/Can Large Language Models Explore In-Context/figs/table_GPT-4_adverts_easy.pdf,Can Large Language Models Explore In-Context,can-large-language-models-explore-in-context,0,auxiliary,pdf+source,
papers/Can Large Language Models Explore In-Context/figs/table_GPT-4_adverts_hard.pdf,Can Large Language Models Explore In-Context,can-large-language-models-explore-in-context,0,auxiliary,pdf+source,
papers/Can Large Language Models Explore In-Context/figs/table_GPT-4_buttons_easy.pdf,Can Large Language Models Explore In-Context,can-large-language-models-explore-in-context,0,auxiliary,pdf+source,
papers/Can Large Language Models Explore In-Context/figs/table_GPT-4_buttons_hard.pdf,Can Large Language Models Explore In-Context,can-large-language-models-explore-in-context,0,auxiliary,pdf+source,
papers/Can Large Language Models Explore In-Context/figs/table_Llama-2-13b_buttons_hard.pdf,Can Large Language Models Explore In-Context,can-large-language-models-explore-in-context,0,auxiliary,pdf+source,
papers/Can Large Language Models Explore In-Context/prompt.pdf,Can Large Language Models Explore In-Context,can-large-language-models-explore-in-context,1,main,pdf+source,
papers/Can Large Language Models Explore In-Context/puzzles.pdf,Can Large Language Models Explore In-Context,can-large-language-models-explore-in-context,0,auxiliary,pdf+source,
papers/Cross-Episodic Curriculum for Transformer Agents/appendix/figs/goal_maze_obstructed-fig.pdf,Cross-Episodic Curriculum for Transformer Agents,cross-episodic-curriculum-for-transformer-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/Cross-Episodic Curriculum for Transformer Agents/fig/ablation_curriculum_granularity-fig.pdf,Cross-Episodic Curriculum for Transformer Agents,cross-episodic-curriculum-for-transformer-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
papers/Cross-Episodic Curriculum for Transformer Agents/fig/ablation_horizon-fig.pdf,Cross-Episodic Curriculum for Transformer Agents,cross-episodic-curriculum-for-transformer-agents,0,auxiliary,source-only,No top-level manuscript PDF found; note built from source files or existing cached parse only.
